id,fecha,centro_atencion_turistica,barrio,comuna,pasajeros,pais_residencia_si_extranjero,otro_pais_residencia_si_extranjero,provincia_residencia_si_argentino,pernoctaciones,medio_transporte_llegada,alojamiento,otro_alojamiento,barrio,otro_barrio,primera_vez,motivo_viaje,otro_motivo_viaje,motivo_consulta,otro_motivo_consulta
39,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion bancos,
40,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,España,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,apps,
41,2017-01-02,caminito,PALERMO,COMUNA 14,3,,,,4,No especifica,,,,,No especifica,No especifica,,Bus Mapas,
42,2017-01-02,caminito,BOCA,COMUNA 4,2,Brasil,,,5,No especifica,,,,,No especifica,No especifica,,Mapas sube,
43,2017-01-02,caminito,BOCA,COMUNA 4,1,,,,2,No especifica,,,,,No especifica,No especifica,,Mapas,
44,2017-01-02,caminito,BOCA,COMUNA 4,2,Colombia,,,8,No especifica,,,,,No especifica,No especifica,,visitas,
45,2017-01-02,caminito,BOCA,COMUNA 4,3,Brasil,,,6,No especifica,,,,,No especifica,No especifica,,bicicletas,
46,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Reino Unido,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas Orientacion agencias,
47,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion,
48,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
49,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,Alemania,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,bicicletas,
50,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
51,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
52,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,5,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
53,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
54,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,Córdoba,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
55,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,5,,,San Luis,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas,
56,2017-01-02,aeroparque2,PALERMO,COMUNA 14,3,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,instalaciones,
57,2017-01-02,aeroparque2,PALERMO,COMUNA 14,1,,,Córdoba,3,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
58,2017-01-02,aeroparque2,PALERMO,COMUNA 14,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
59,2017-01-02,aeroparque2,PALERMO,COMUNA 14,2,Brasil,,,,Avión,No pernocta en Buenos Aires,,,,Sí,,,Mapas Orientacion compras pax_transito,
60,2017-01-02,aeroparque2,PALERMO,COMUNA 14,2,Brasil,,,3,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
61,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,Provincia de Buenos Aires,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion,
62,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion,
63,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,India,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion barrios,
64,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion,
65,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,Israel,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion info_uru,
